Section,Start chainage,Start date,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
,,,475382.188,,254908.626,,,,,567968,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM14
,,,475300.092,,254987.546,,,,,567965,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM15
,,,475229.42,,255052.371,,,,,567962,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM16
,,,475169.188,,255107.527,,,,,567959,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM17
,,,475082.678,,255191.443,,,,,567956,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM18
,,,475008.086,,255267.275,,,,,567953,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM19
,,,474946.921,,255334.13,,,,,567950,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM20
,,,474876.429,,255409.035,,,,,567947,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM21
,,,474807.486,,255482.311,,,,,567944,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM22
,,,474748.788,,255539.053,,,,,567941,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM23
,,,474669.588,,255627.882,,,,,567938,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM24
,,,474598.253,,255703.563,,,,,567935,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM25
,,,474530.887,,255774.802,,,,,567932,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM26
,,,474457.485,,255852.536,,,,,567926,IT_SM:IT_SM-M:M1-J15-NB-RMP-RFM-RFM27
,,,474392.289,,255921.052,,,,,568709,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM01
,,,474323.705,,255994.262,,,,,568706,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM02
,,,474253.802,,256067.839,,,,,568701,IT_SM:IT_SM-M:M1-J15A-NB-RMP-RFM-RFM03
