Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,Colour,End chainage,End date,Manufacturer,Owner of inventory item,Product name/id,Section,Start chainage,Start date,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
MPSB-369,10/03/2021,,,,73/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,495336.174,,237619.525,,,,,654357,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM26
MPSB-370,19/11/2020,,,,73/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,495437.308,,237585.498,,,,,654363,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM27
MPSB-371,19/11/2020,,,,73/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,495532.156,,237551.923,,,,,654366,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM28
MPSB-372,,,,,73/1,,BLUE,,,,,DISTANCE MARKER POST,,,,495622.401,,237522.994,,,,,654369,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM29
MPSB-373,,,,,73/0,,BLUE,,,,,DISTANCE MARKER POST,,,,495717.256,,237473.694,,,,,654372,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM30
MPSB-374,,,,,72/9,,BLUE,,,,,DISTANCE MARKER POST,,,,495785.296,,237447.752,,,,,654375,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM31
MPSB-375,,,,,72/8,,BLUE,,,,,DISTANCE MARKER POST,,,,495902.104,,237403.627,,,,,654378,IT_SM:IT_SM-M:M1-J13-SB-RMP-RFM-RFM32
MPNB-144,21/01/2022,,,,87/0,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,484460.029,,245420.457,,,,,588248,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM01
MPNB-145,21/01/2022,,,,87/1,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,484379.062,,245488.894,,,,,588245,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM02
MPNB-146,21/01/2022,,,,87/2,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,484301.632,,245550.526,,,,,588242,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM03
MPNB-147,21/01/2022,,,,87/3,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,484225.355,,245607.962,,,,,588239,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM04
MPNB-148,21/01/2022,,,,87/4,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,484139.479,,245671.742,,,,,588236,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM05
MPNB-149,21/01/2022,,,,87/5,,BLUE,,,BLAKEDALE,,DISTANCE MARKER POST,,,,484058.417,,245731.975,,,,,588233,IT_SM:IT_SM-M:M1-LK02-NB-RMP-RFM-RFM06
