Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Location text,Colour,End chainage,End date,Manufacturer,Material,Owner of inventory item,Product name/id,Section,Start chainage,Start date,Type,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
FTP_NB4,04/03/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,,,,,490582.751,,240111.121,,,,,754806,IT_SM:IT_SM-M:M1-LK01-NB-RMP-UTM-UTM03
FTP_NB5,09/03/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,,,,,487177.543,,242324.616,,,,,651767,IT_SM:IT_SM-M:M1-SER-NB-RMP-UTM-UTM08
FTP_NB6,08/03/2022,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,,,,,485023.036,,244793.107,,,,,651743,IT_SM:IT_SM-M:M1-SER-NB-RMP-UTM-UTM09
FTP_SB10,10/03/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,,,,,490704.399,,240089.533,,,,,754803,IT_SM:IT_SM-M:M1-LK01-SB-RMP-UTM-UTM03
FTP_SB11,10/03/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,,,,,494599.487,,237898.9,,,,,655337,IT_SM:IT_SM-M:M1-J13-SB-RMP-UTM-UTM02
WMMPNB-8,21/01/2022,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,,,,,483605.472,,246067.222,,,,,588503,IT_SM:IT_SM-M:M1-LK02-NB-RMP-UTM-UTM03
WMMPNB-9,22/05/2022,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,,,,,481935.561,,247419.414,,,,,588509,IT_SM:IT_SM-M:M1-LK02-NB-RMP-UTM-UTM04
WMMPSB-12,24/01/2022,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,,,,,482239.216,,247164.841,,,,,588506,IT_SM:IT_SM-M:M1-LK02-SB-RMP-UTM-UTM03
WMMPSB-13,21/10/2022,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,WINTER MAINTENANCE MARKER POST,,,,,483818.979,,245951.76,,,,,588512,IT_SM:IT_SM-M:M1-LK02-SB-RMP-UTM-UTM04
FTP_NB7,08/03/2022,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,,,,,482504.017,,246888.962,,,,,588471,IT_SM:IT_SM-M:M1-LK02-NB-RMP-UTM-UTM05
FTP_NB8,08/11/2021,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,,,,,479777.773,,249877.318,,,,,581163,IT_SM:IT_SM-M:M1-LK02-NB-RMP-UTM-UTM06
FTP_SB7,21/10/2022,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,,,,,481619.843,,247785.863,,,,,588431,IT_SM:IT_SM-M:M1-LK02-SB-RMP-UTM-UTM05
FTP_SB6,31/10/2023,,,,,YELLOW,,,BLAKEDALE,PLASTIC,,FTP MARKER POST,,,,,479215.557,,250903.621,,,,,581232,IT_SM:IT_SM-M:M1-LK02-SB-RMP-UTM-UTM06
