Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,End chainage,End date,Illuminated,Manufacturer,Material,Owner of inventory item,Passively safe,Product name/id,Section,Start chainage,Start date,TSRGD diagram number,Type,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
HMPSB-56,19/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,493813.911,,238200.431,,,,,654421,IT_SM:IT_SM-M:M1-J13-SB-RTS-BOL-BOL02
HMPSB-57,19/11/2020,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,493822.57,,238196.205,,,,,654424,IT_SM:IT_SM-M:M1-J13-SB-RTS-BOL-BOL03
HMPNB-22,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,483509.172,,246136.408,,,,,588489,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL01
HMPNB-23,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,483501.698,,246143.043,,,,,588486,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL02
HMPNB-24,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,483494.241,,246149.672,,,,,588483,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL03
HMPNB-25,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,481850.422,,247502.314,,,,,588453,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL04
HMPNB-26,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,481844.126,,247510.005,,,,,588450,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL05
HMPNB-27,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,481837.725,,247517.764,,,,,588447,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL06
HMPNB-28,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,481180.885,,248177.139,,,,,581227,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL07
HMPNB-29,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,481174.419,,248184.87,,,,,581224,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL08
HMPNB-30,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,481168.085,,248192.747,,,,,581221,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL09
HMPNB-31,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,479918.189,,249634.311,,,,,581185,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL10
HMPNB-32,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,479914.061,,249643.296,,,,,581182,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL11
HMPNB-33,20/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,479909.931,,249652.474,,,,,581179,IT_SM:IT_SM-M:M1-LK02-NB-RTS-BOL-BOL12
HMPSB-28,16/12/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,480206.916,,249265.724,,,,,581188,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL01
HMPSB-29,16/12/2021,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,480211.976,,249257.112,,,,,581191,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL02
HMPSB-30,17/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,480217.092,,249248.449,,,,,581194,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL03
HMPSB-31,18/01/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,480927.625,,248487.324,,,,,581209,IT_SM:IT_SM-M:M1-LK02-SB-RTS-BOL-BOL04
