SUPP_REFF,Layer,Asset ID,Drawing Name,Area Code,Direction
HMPNB-66,GX_ANNO_TEXT_T_VERIF_0000X,568197,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPNB-65,GX_ANNO_TEXT_T_VERIF_0000X,568200,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPNB-64,GX_ANNO_TEXT_T_VERIF_0000X,568203,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPSB-61,GX_ANNO_TEXT_T_VERIF_0000X,568206,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPSB-62,GX_ANNO_TEXT_T_VERIF_0000X,568209,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPSB-63,GX_ANNO_TEXT_T_VERIF_0000X,568212,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPNB-51,GX_ANNO_TEXT_T_VERIF_0000X,568215,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPNB-50,GX_ANNO_TEXT_T_VERIF_0000X,568218,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPSB-49,GX_ANNO_TEXT_T_VERIF_0000X,568221,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPSB-7,GX_ANNO_TEXT_T_VERIF_0000X,568224,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPSB-8,GX_ANNO_TEXT_T_VERIF_0000X,568227,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPSB-9,GX_ANNO_TEXT_T_VERIF_0000X,568230,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPNB-52,GX_ANNO_TEXT_T_VERIF_0000X,568233,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPNB-53,GX_ANNO_TEXT_T_VERIF_0000X,568236,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPNB-54,GX_ANNO_TEXT_T_VERIF_0000X,568239,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPSB-6,GX_ANNO_TEXT_T_VERIF_0000X,568242,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPSB-5,GX_ANNO_TEXT_T_VERIF_0000X,568245,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPSB-4,GX_ANNO_TEXT_T_VERIF_0000X,568248,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPSB-60,GX_ANNO_TEXT_T_VERIF_0000X,568251,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPSB-59,GX_ANNO_TEXT_T_VERIF_0000X,568254,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPSB-58,GX_ANNO_TEXT_T_VERIF_0000X,568257,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPNB-67,GX_ANNO_TEXT_T_VERIF_0000X,568263,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPNB-68,GX_ANNO_TEXT_T_VERIF_0000X,568266,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
HMPNB-69,GX_ANNO_TEXT_T_VERIF_0000X,568269,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,HM
MPSB-45,GX_ANNO_TEXT_T_VERIF_0000X,569214,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-36,GX_ANNO_TEXT_T_VERIF_0000X,570772,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPSB-29,GX_ANNO_TEXT_T_VERIF_0000X,570802,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
MPNB-348,GX_ANNO_TEXT_T_VERIF_0000X,571575,HA549348-AMAR-HSN-ML03-M3-CH-000002.dwg,ML03,MP
