Passively safe,Product name/id,Section,Start chainage,Start date,TSRGD diagram number,Type,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,Arup reference ID
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,469203.698,,258919.154,,,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL06
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,469194.333,,258923.332,,,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL07
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,469184.722,,258927.487,,,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL08
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,468519.94,,259147.902,,,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL09
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,468510.937,,259152.094,,,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL10
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,468501.786,,259156.254,,,,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL11
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,467478.48,,259536.911,,,,IT_SM:IT_SM-M:M1-J16-SB-RTS-BOL-BOL01
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,467487.524,,259532.974,,,,IT_SM:IT_SM-M:M1-J16-SB-RTS-BOL-BOL02
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,467496.627,,259528.738,,,,IT_SM:IT_SM-M:M1-J16-SB-RTS-BOL-BOL03
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,468616.68,,259155.984,,,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL01
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,468625.699,,259151.917,,,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL02
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,468634.85,,259147.825,,,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL03
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,469251.875,,258943.578,,,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL04
YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,469260.85,,258939.616,,,,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL05
